FreqHz,ReflectionReal,ReflectionImag,ReflectionAbs,AbsorptionCoeff,ImpedanceReal_Pa_s_per_m,ImpedanceImag_Pa_s_per_m,AdmittanceReal_m_per_Pa_s,AdmittanceImag_m_per_Pa_s
100,0.988457872005983,0.173887876145266,1.00505970319196,-0.0116028982492152,62.8470262830814,4999.61670051897,-5.32383014782608e-06,-0.0002096891272505
125,0.99481749636087,0.0703987926509877,0.997856420979018,0.00370198607608339,141.342754513296,15354.0687056702,2.9346427213774e-06,-8.50654032130012e-05
160,1.00098166483892,-0.0266608691174842,1.00178883637917,-0.00385123188398781,5127.9345306817,511.837144964542,-1.99340940365927e-06,3.20147827576643e-05
200,0.994502305889166,-0.119287201947649,1.00217474272741,-0.004639015588755,-76.3232219434011,-7470.25735419936,-2.45274045435049e-06,0.000144042990657862
250,0.977836075392529,-0.216218472043556,1.00311394386109,-0.00769918867366575,-69.1210099925591,-3836.34008721935,-2.94080563645143e-06,0.000263343746260889
315,0.946383939060452,-0.329971059336708,1.00730362011105,-0.0212539581792275,70.5953742678151,-2489.57919596183,-4.9511727878451e-06,0.000407763501462951
400,0.92108150318843,-0.474148407369225,1.04501861328804,-0.248897763095944,-42.2266332446976,-1759.20800314924,-2.57901667965913e-05,0.000567150483703249
500,0.809692204227885,-0.574517586178128,0.996385634353254,0.00419621062965143,8.71214226027556,-1309.57412567662,7.04536814710821e-06,0.000769901711875658
630,0.694249766418867,-0.71823654372279,1.00083462388225,-0.00212692601471124,-0.907685666889935,-983.855902955948,-8.6671828425105e-07,0.00102309632855743
800,0.50207590011416,-0.860724163923243,0.99931817518434,0.00131961779318882,0.572670671607755,-726.750221151294,1.14498779161595e-06,0.00138658663303863
1000,0.238396884572944,-0.962496543190832,0.99649543659447,0.00654061779879814,1.78364279917707,-533.445904623042,7.92370419828346e-06,0.00189345235101417
1250,-0.13330934009089,-0.981139691134494,1.00559826165694,-0.0154814723582771,-1.11233146117403,-360.639608367847,-4.55620694769961e-06,0.00278852636942185
1600,-0.414911270112232,-0.648862809774929,1.05849484993418,-0.309008330089095,-0.378487888957237,-208.588768135721,-8.74851599336086e-05,0.0032934916790131
2000,-0.796397712312572,-0.551672539794395,1.00121286727732,-0.0119144541905039,-0.468827901262878,-131.32431703413,5.30336961815962e-07,0.00892811008756793
2500,-0.963911905535871,0.125740512953752,1.00000068200266,-0.000470622356819767,0.0496890702865315,27.3212590169942,0.0166263319166773,-0.00290601822475038
3150,-0.477962234776208,0.720939133806122,1.03780609650628,-0.198161975729119,-9.88144858980701,196.791494840939,-0.000225526027260671,-0.00438944628459366
4000,0.446496918150055,0.813908458343998,1.00001843782314,-0.00130176748304693,-0.750828971109695,827.349301709838,1.34274833989321e-06,-0.00150366427849303
5000,0.819613037934297,-0.215114321766356,1.01467149568694,-0.111901609478112,-27.2063665850947,-271.869067013271,0.000132704169201365,0.000281285856564987
6300,0.306514383053664,-0.938573130786089,1.0004532422119,-0.00270185211274323,0.579375508766484,-582.944075880156,3.01349824929485e-07,0.00176351799476084
