FreqHz,ReflectionReal,ReflectionImag,ReflectionAbs,AbsorptionCoeff,ImpedanceReal_Pa_s_per_m,ImpedanceImag_Pa_s_per_m,AdmittanceReal_m_per_Pa_s,AdmittanceImag_m_per_Pa_s
100,0.761809732983896,0.452821077207892,0.916389315542313,0.375555527947403,138.360384198297,1735.27563934436,0.000137289160428715,-0.000708988221811784
125,1.14082609521151,0.0354796740220629,1.14869873854496,-0.310363417023756,-3788.22517743787,1140.76534912197,-0.000163354603382403,-4.58777554743905e-05
160,0.879882805047536,-0.215137696836985,0.965512455433237,0.122758297196221,93.6397912246938,-1628.07368075975,0.000135286419217741,0.000307003003181421
200,0.590274809620561,-0.446393143060146,1.09330939732526,0.214012361057592,557.99386290504,-989.61394301735,-0.000270772968347441,0.000177694729737401
250,1.06673959743637,-0.591869249817217,1.27771333177034,-0.24557123487212,-860.684688579419,-1454.7402349462,-0.000289389965464366,0.000625399878719232
315,0.905122973143302,-0.639077262907472,1.11497618352506,0.166261125297041,-202.599367387519,-1276.7518156559,-0.00013533863857585,0.000756561791536557
400,0.71605440606442,-0.745462599783676,1.04509663970417,0.470286855810834,-42.7608892333223,-975.755281333964,-5.10480683495722e-05,0.0010228640820259
500,0.486342421528129,-0.873909245928823,1.01888847919108,0.73872808335585,7.69617501855148,-730.708739389096,-2.51383396363898e-05,0.00141176659974618
630,0.148475079279225,-1.02345267315532,1.0552483471413,0.915948171765953,-19.3906091461114,-482.779403231421,-8.35869229970188e-05,0.00209174115253776
800,-0.278565055051943,-0.96034571946405,1.01146708633537,0.900641716596673,-3.00309140346936,-314.213118514206,-3.15432955986129e-05,0.00325167503198244
1000,-0.680536117462984,-0.72234973593732,1.00595283890517,0.523716217967805,-1.60307396637833,-180.322756208432,-3.41209053726075e-05,0.00584838655364934
1250,-0.9080278194767,-0.413937147488495,1.00050970438809,0.174606083549383,-0.107866823129858,-90.2485188942543,-2.16779182555302e-05,0.0114353654349133
