Freq_Hz,Absorption_1_3oct,Reflection_1_3oct
12.5,0.364378116929894,0.796825809944602
16,-13.7760242714707,3.02196355969305
20,-1.04305098413308,1.39315259598011
25,0.0405654409254965,0.96178396551255
31.5,0.192996899670098,0.830915526138794
40,0.163095320074634,0.882303684765653
50,-0.0477661996684767,0.999565235674678
63,0.0370549015539152,0.977330637923189
80,-0.0127879906342865,1.00278478946028
100,-0.0223691424179643,1.00825801651662
125,0.0121079841941794,0.993004885250582
160,-0.00929699915483754,1.00422211024639
200,-0.00328544630629331,1.00122540512325
250,-0.0067836366148444,1.00154676840392
315,-0.0788287655462979,1.02380779346967
400,-0.131577052522933,1.0442418972123
500,-0.134042776704672,1.01878663882439
630,-0.0115816718203844,1.00398311398348
800,-0.00565795369218939,1.00118255668538
1000,-0.00580070309065616,1.00258503866277
1250,0.00108535174105845,0.999431073919328
1600,0.0042233918913481,0.997761170408168
