FreqHz,ReflectionReal,ReflectionImag,ReflectionAbs,AbsorptionCoeff,ImpedanceReal_Pa_s_per_m,ImpedanceImag_Pa_s_per_m,AdmittanceReal_m_per_Pa_s,AdmittanceImag_m_per_Pa_s
100,0.324857682009441,0.441941417222995,4.32816655774374,-32.3026228842218,-314.879797763896,-108.55541640669,-0.00394080593077659,0.00138432261278531
125,-0.675434822667116,-0.389764856145237,0.859348003023417,0.148820914907561,55.6089606094529,-139.785678504547,-0.000268487401105373,0.00582072869487724
160,-0.688949664569569,0.0396992039028817,2.43168324250627,-25.7713381401625,-143.43144533293,60.7158626093951,-0.00229815855808915,-6.18933169308089e-05
200,-0.587679690089802,0.305228936408143,0.843406890388077,-0.213300291227958,115.585118222979,38.8261917423227,-0.000178966318470698,-0.000790639026046236
250,0.959727621099948,-0.567712362258407,1.51754778268315,-2.70988116992885,35.3039875003194,179.984109834062,-0.000192369374123177,0.000311252942935182
315,0.461112544741086,0.0400449979121664,1.00356169873407,-1.31239041821775,211.092573746189,56.0944217195365,0.000945941367541551,-0.00107119314043035
400,0.432907188429708,-0.422992055841195,1.90418867226728,-4.3591952708645,-9.69245804793419,-273.443680949444,-0.000865706601075278,0.0011485077427301
500,0.120028583351584,0.0496248403508472,0.717762367613192,0.380446408853281,217.896366364143,359.485946521645,0.00280624771494425,0.00057380485961292
630,0.407858525812651,-0.613827300090639,0.947950261908599,-0.0658065468219977,-27.1395843533724,-273.379771870861,0.000480891445928733,0.00119241370384124
800,-0.438929306872934,-0.943891155246203,1.22811737004089,-0.924612150705501,-36.1858815443635,-289.810931616477,-0.000109414767410544,0.002707532674756
1000,-0.669967436312987,-0.779962377123379,1.10747128197831,-0.42031040062006,-16.8569724171918,-196.195436645198,-6.39258122521135e-05,0.0053079628788195
1250,-0.91718054313899,-0.425158666747214,1.01387212351218,-0.0293422533747575,-2.91190509643343,-91.2817794890617,-0.000103494885884052,0.0112964187871836
