Freq_Hz,Absorption_1_3oct,Reflection_1_3oct
12.5,0.287347150909766,0.841169417039242
16,0.28049428273276,0.82495904164886
20,0.384893959138803,0.722756590647212
25,0.244027597297066,0.859441623730727
31.5,0.469503154346037,0.833512702293128
40,0.369135756963663,0.767129436573892
50,0.587331077541378,0.651344349902598
63,0.331926601150328,0.88583853588046
80,0.341473010865184,0.828321413812718
100,0.316832674861417,0.846844304985008
125,0.31219415070138,0.880725267303547
160,0.153522148064418,0.920445779477618
200,0.149441240071678,0.95503052554098
250,0.190121068099784,0.908776218929755
315,0.132352298512424,0.947100217662965
400,0.0606423821497426,0.993251890933496
500,0.0303291271336854,0.993340541922188
630,0.00869567603071424,0.99921716225812
800,0.00345878733992146,0.998377526249226
1000,0.00298391958693711,0.998989563063099
1250,0.00142289912826361,0.999227535860714
1600,0.00199155193102592,0.99966542297232
