Freq_Hz,X_real,X_imag,Y_real,Y_imag,H_real,H_imag,H_mag_dB,H_phase_rad,Impulse_response
39.028931,1987.764160,422.123505,0.702968,0.566722,0.000396,0.000201,67.045486,0.469248,0.038026
39.701843,1858.313232,-961.092163,3.028566,0.812241,0.001107,0.001010,56.485397,0.739328,0.025910
40.374756,544.118408,-1859.135742,1.903990,-2.282726,0.001407,0.000612,56.280586,0.410461,-0.050225
41.047668,-805.817749,-1686.026489,0.817114,-1.153326,0.000368,0.000661,62.425179,1.062241,-0.036386
41.720581,-1931.179810,-503.174438,0.770145,-1.932633,-0.000129,0.001034,59.638641,1.695119,0.017134
42.393494,-1592.729248,1088.052979,-0.253309,-0.849663,-0.000140,0.000438,66.751450,1.880376,0.036259
43.066406,-415.018555,2026.313599,1.642440,-1.229120,-0.000741,-0.000659,60.071484,-2.415261,-0.010979
43.739319,1373.171997,1662.420898,-1.097685,-3.335074,-0.001517,-0.000593,55.765030,-2.769160,0.008759
44.412231,2006.733887,107.719208,-1.864695,0.559754,-0.000912,0.000328,60.275425,2.796339,-0.033294
45.085144,1431.133301,-1491.531982,0.252182,-0.262681,0.000176,0.000000,75.081810,0.000273,-0.043400
45.758057,-486.485840,-1917.529785,0.159953,0.021293,-0.000030,0.000076,81.769600,1.951603,-0.071710
46.430969,-1728.024414,-686.138306,-0.453291,-1.699974,0.000564,0.000760,60.479660,0.932240,0.047667
47.103882,-1665.521729,1175.254028,-0.796564,1.776436,0.000822,-0.000487,60.399239,-0.534770,-0.036491
47.776794,221.871521,2054.286377,1.664285,-2.113108,-0.000930,-0.000911,57.709160,-2.366871,-0.026718
48.449707,1747.871094,995.812012,-3.012952,1.308900,-0.000979,0.001307,55.740349,2.213903,0.052417
49.122620,1863.408813,-1008.849426,4.334210,0.451687,0.001697,0.001161,53.737415,0.600056,0.077218
49.795532,-118.091324,-1994.862793,-2.344049,-3.837218,0.001986,-0.001057,52.955898,-0.489247,0.045130
50.468445,-1693.845215,-793.577393,-0.795109,2.130545,-0.000098,-0.001212,58.303188,-1.651746,-0.026626
51.141357,-1559.913818,1306.213013,-0.309761,-0.989264,-0.000195,0.000471,65.857056,1.964455,-0.045356
51.814270,688.324707,1962.910889,-0.484367,1.881297,0.000776,0.000519,60.593788,0.589259,-0.016888
52.487183,1972.565674,256.318237,1.030386,-0.267540,0.000496,-0.000200,65.430000,-0.383258,0.084201
53.160095,1110.795166,-1741.912109,-0.174931,1.350457,-0.000597,0.000280,63.620491,2.702739,0.015886
53.833008,-1345.983521,-1522.929443,3.594844,-0.073863,-0.001144,0.001349,55.045097,2.274052,-0.005715
54.505920,-1727.582275,770.858398,-0.264015,-4.469558,-0.000835,0.002214,52.516907,1.931490,0.006421
55.178833,123.530807,2000.622681,-3.378097,0.668565,0.000229,0.001703,55.299526,1.437078,-0.032051
55.851746,2108.287354,423.630676,0.661137,0.860557,0.000380,0.000332,65.940292,0.717412,-0.029539
56.524658,864.494568,-1810.428955,-1.019402,0.220260,-0.000318,-0.000411,65.682594,-2.229086,-0.048898
57.197571,-1403.925049,-1285.113159,0.976423,0.211837,-0.000454,0.000264,65.597603,2.613991,-0.073109
57.870483,-1630.636597,1219.855347,-2.570220,-0.898234,0.000746,0.001109,57.477509,0.978484,0.005427
58.543396,1051.303711,1799.977051,-0.882594,3.862763,0.001387,0.001300,54.421082,0.753252,0.073432
59.216309,1872.857544,-628.732056,1.767462,1.248945,0.000647,0.000884,59.207901,0.939049,0.054186
59.889221,-201.858780,-1979.405640,0.687097,0.714437,-0.000392,0.000307,66.052200,2.477327,0.019755
60.562134,-2059.760742,81.932907,-0.801603,0.811241,0.000404,-0.000378,65.141502,-0.751617,-0.107161
61.235046,49.977150,2014.050293,1.096238,5.463347,0.002724,-0.000477,51.163479,-0.173214,-0.040926
61.907959,1946.225830,198.377380,7.486295,0.067490,0.003811,-0.000354,48.343063,-0.092564,0.040073
62.580872,446.458496,-1987.074951,-0.083818,-4.152184,0.001980,-0.000487,53.810867,-0.241195,0.060897
63.253784,-2039.956299,-383.701233,0.194418,1.964147,-0.000267,-0.000913,60.437588,-1.855379,0.036482
63.926697,-220.447998,1981.339600,1.895058,-0.648311,-0.000428,-0.000909,59.959488,-2.011228,-0.002784
64.599609,1926.145996,272.555176,1.207191,1.119808,0.000695,0.000483,61.448139,0.607295,0.025688
65.272522,335.631683,-2003.982910,2.237784,-0.658442,0.000502,0.001033,58.801060,1.118692,0.043338
65.945435,-2080.893799,-88.620010,2.287464,1.231839,-0.001122,-0.000544,58.079880,-2.690170,-0.010064
66.618347,269.628998,2005.699707,4.247622,-3.338634,-0.001355,-0.002300,51.470943,-2.103312,-0.035010
67.291260,1902.982544,-411.824799,-1.116417,-2.097040,-0.000333,-0.001174,58.271629,-1.846886,-0.075431
67.964172,-526.219849,-1905.221191,1.354377,-1.080412,0.000344,0.000806,61.144615,1.166928,-0.042691
68.637085,-1844.752441,931.077148,-0.831055,-0.358153,0.000281,0.000336,67.171852,0.874324,0.047298
69.309998,1417.396240,1545.654419,2.671429,-0.542062,0.000670,-0.001114,57.722511,-1.028850,0.043435
69.982910,1154.069824,-1623.782959,-1.346439,-1.850708,0.000366,-0.001089,58.794647,-1.246853,0.011157
70.655823,-1701.877563,-831.585205,1.463771,1.811702,-0.001114,-0.000520,58.204517,-2.704877,-0.032838
71.328735,-413.422668,1947.869385,2.080207,-1.593816,-0.001000,-0.000856,57.614563,-2.433713,-0.010838
72.001648,2130.667236,-254.824097,0.748346,-1.415145,0.000425,-0.000613,62.545086,-0.965333,-0.040984
72.674561,-944.845520,-1865.315430,-0.355177,-0.120966,0.000128,-0.000125,74.921410,-0.773678,0.012716
73.347473,-1311.423828,1396.748169,3.029080,0.480105,-0.000899,-0.001324,55.913563,-2.167508,0.023170
74.020386,1715.529297,823.336914,1.340503,-3.056426,-0.000060,-0.001753,55.119858,-1.604940,-0.006313
74.693298,262.775818,-2011.541138,0.236690,-0.833948,0.000423,0.000062,67.384827,0.146648,-0.007374
75.366211,-2004.421997,632.661499,0.864653,-1.215640,-0.000566,0.000428,62.978138,2.494785,-0.014180
76.039124,1540.676880,1441.930542,1.089485,-1.268038,-0.000034,-0.000792,62.022720,-1.613294,0.055085
76.712036,570.938599,-1936.063477,-0.054416,-1.515080,0.000712,-0.000238,62.486233,-0.322669,-0.005249
77.384949,-1855.435669,256.809937,1.193339,-0.184039,-0.000645,0.000010,63.813969,3.126112,-0.051574
78.057861,1061.459229,1583.850098,1.497174,-2.094694,-0.000475,-0.001264,57.390717,-1.930610,-0.022363
78.730774,962.690552,-1838.650635,0.433143,-2.889658,0.001330,-0.000461,57.028736,-0.333551,0.025335
79.403687,-2125.052002,211.847824,-2.615319,-1.817106,0.001134,0.000968,56.529202,0.706585,0.064381
80.076599,1442.661133,1541.929321,-0.275594,1.737405,0.000512,0.000657,61.586250,0.909463,0.014688
80.749512,414.112793,-1982.408569,0.560347,0.012746,0.000050,0.000272,71.157967,1.387607,-0.017169
81.422424,-1745.190186,676.530334,2.539454,1.847595,-0.000908,-0.001411,55.505032,-2.142793,-0.019112
82.095337,1530.884155,1068.401978,3.945216,-3.302384,0.000721,-0.002660,51.194519,-1.306248,0.009577
82.768250,-1.070076,-2002.244873,-0.537992,-2.515404,0.001256,-0.000268,57.823936,-0.210170,0.002255
83.441162,-1601.365356,1350.155273,1.186611,-0.759099,-0.000667,-0.000088,63.445938,-3.010217,-0.014674
84.114075,2166.982178,186.662537,2.002123,-1.459944,0.000860,-0.000748,58.867573,-0.715981,-0.002634
84.786987,-1376.268433,-1654.497070,3.129287,-3.781325,0.000421,0.002242,52.838673,1.385177,0.018819
85.459900,-157.743011,1994.190674,-0.955207,-6.510364,-0.003207,0.000733,49.657818,2.916974,-0.001631
86.132812,1463.594849,-1220.797729,-4.092807,-1.709984,-0.001074,-0.002065,52.662834,-2.050638,0.036836
86.805725,-1815.640137,-273.857452,0.833345,-0.239958,-0.000429,0.000197,66.515854,2.711528,-0.007925
87.478638,1096.897217,1502.233154,-0.680680,-5.007480,-0.002390,-0.001292,51.318722,-2.646003,-0.061696
88.151550,237.060410,-1999.931641,-4.400824,-1.516631,0.000491,-0.002259,52.722824,-1.356902,-0.134712
88.824463,-1519.739990,1466.947266,-1.105447,-0.168260,0.000321,0.000421,65.524620,0.918775,0.034912
89.497375,2175.410400,-357.873047,-2.739655,-2.349313,-0.001053,-0.001253,55.719025,-2.269700,0.075089
90.170288,-2016.792969,-941.298706,-4.474137,1.104607,0.001612,-0.001300,53.677971,-0.678726,0.032871
90.843201,1161.171509,1790.514526,-1.842997,3.124700,0.000759,0.001521,55.391495,1.108226,0.007025
91.516113,-17.394478,-2052.988037,0.422280,3.173246,-0.001547,0.000193,56.141731,3.017768,-0.021985
92.189026,-1036.791992,1586.262695,2.072800,1.267010,-0.000039,-0.001281,57.842499,-1.601048,0.039342
92.861938,1648.694702,-729.114746,1.403206,0.699642,0.000555,0.000670,61.211891,0.878909,0.049760
93.534851,-1735.886841,-344.580383,2.396316,-0.204426,-0.001306,0.000377,57.335899,2.860534,-0.004044
94.207764,1291.713623,1221.586182,1.330711,-0.267113,0.000441,-0.000623,62.344734,-0.955599,-0.018900
94.880676,-534.047607,-1826.393311,3.658188,-1.446948,0.000190,0.002059,53.691601,1.478618,-0.023077
95.553589,-386.515594,1961.827148,-0.098319,-3.766712,-0.001839,0.000412,54.496391,2.920970,0.017316
96.226501,1215.654419,-1767.613525,0.822617,-0.434005,0.000384,0.000201,67.259262,0.482872,0.028962
96.899414,-1880.634521,1230.459961,0.540701,-4.206393,-0.001226,0.001434,54.484249,2.278016,0.025984
97.572327,2244.351807,-582.884705,-2.863017,-0.466344,-0.001144,-0.000505,58.055096,-2.726027,-0.050874
98.245239,-2370.021973,-153.309814,1.714844,0.924156,-0.000746,-0.000342,61.721344,-2.711896,-0.065035
98.918152,2221.960205,782.312500,2.221487,-2.776634,0.000498,-0.001425,56.423153,-1.234544,-0.093113
99.591064,-1937.723877,-1333.466553,-0.457935,-3.377368,0.000974,0.001072,56.778847,0.833293,0.004419
100.263977,1508.436890,1687.614258,-0.464620,-2.316862,-0.000900,-0.000529,59.626369,-2.610111,0.027596
100.936890,-1076.816162,-1927.339111,-2.373639,-3.172166,0.001779,-0.000238,54.920898,-0.132891,0.017973
101.609802,611.271545,1988.434326,-2.556055,1.460909,0.000310,0.001381,56.983372,1.349804,-0.001803
102.282715,-229.593338,-1974.517090,1.951339,-0.116965,-0.000055,0.000982,60.145317,1.626685,0.043074
102.955627,-133.080536,1843.509399,0.367810,-1.638251,-0.000898,-0.000135,60.834297,-2.992805,0.063605
103.628540,382.729248,-1692.769043,1.558018,-2.948718,0.001855,0.000501,54.326511,0.263728,0.000072
104.301453,-607.550720,1482.794434,-2.716261,-3.788378,-0.001545,0.002465,50.725037,2.130680,-0.060868
104.974365,725.542725,-1293.055664,-0.969892,-0.114265,-0.000253,-0.000608,63.626747,-1.964856,-0.019969
105.647278,-835.392700,1081.336182,-1.300534,-3.104455,-0.001216,0.002142,52.169910,2.087097,0.047951
106.320190,857.311890,-908.587463,-1.946136,0.711445,-0.001483,-0.000742,55.604462,-2.677642,0.077632
106.993103,-891.974854,731.934326,1.718865,-2.898897,-0.002745,0.000997,50.689854,2.793169,0.032395
107.666016,857.127014,-597.377563,-4.486560,-3.577735,-0.001565,-0.005265,45.204506,-1.859740,-0.059405
108.338928,-851.631348,465.042908,-2.053232,2.072866,0.002881,-0.000861,50.437798,-0.290342,-0.059109
109.011841,789.882690,-369.722107,1.192743,-2.408130,0.002409,-0.001921,50.225204,-0.673136,0.010315
109.684753,-767.982300,277.269867,-4.269619,-2.779058,0.003763,0.004977,44.097298,0.923475,-0.014254
110.357666,697.835083,-213.824646,-1.689723,1.399318,-0.002775,0.001155,50.440399,2.747259,-0.054301
111.030579,-672.988831,152.376297,-2.276727,-2.813772,0.002318,0.004706,45.604301,1.113172,-0.001976
111.703491,604.150024,-111.777229,-4.456524,3.443712,-0.008152,0.004192,40.755772,2.666646,-0.027112
112.376404,-582.714966,72.632675,2.931812,0.598096,-0.004828,-0.001628,45.856277,-2.816346,0.041565
113.049316,519.387390,-47.080612,-2.933183,-1.799076,-0.005290,-0.003943,43.611763,-2.501013,0.117439
113.722229,-503.562958,23.324383,0.351514,1.534844,-0.000556,-0.003074,50.107079,-1.749651,0.005259
114.395142,446.963501,-7.044787,-1.029533,-2.049675,-0.002231,-0.004621,45.795746,-2.020515,-0.059166
115.068054,-436.867462,-6.288738,-0.585470,-0.153865,0.001345,0.000333,57.167747,0.242600,-0.070122
115.740967,386.797485,17.213083,-3.058671,-2.612489,-0.008192,-0.006390,39.668327,-2.479181,0.012265
116.413879,-381.699951,-23.482342,-2.653128,3.086079,0.006429,-0.008481,39.459465,-0.922136,0.070127
117.086792,337.415466,31.593765,0.703061,-1.121431,0.001757,-0.003488,48.166115,-1.104171,0.039226
117.759705,-336.330627,-32.984047,-3.576703,0.464882,0.010399,-0.002402,39.434486,-0.227008,-0.023484
118.432617,296.982117,39.871002,-0.320033,1.998734,-0.000171,0.006753,43.407150,1.596111,-0.028133
119.105530,-298.950745,-37.767265,0.262575,1.273220,-0.001394,-0.004083,47.301804,-1.899841,-0.030139
119.778442,263.794617,44.409912,1.751979,-1.772330,0.005359,-0.007621,40.615368,-0.957959,0.016423
120.451355,-267.946411,-39.714119,-3.583663,-1.851343,0.014089,0.004821,36.541428,0.329699,-0.026784
121.124268,236.379791,46.651043,-0.826696,1.837256,-0.001890,0.008145,41.554031,1.798766,-0.043450
121.797180,-242.017746,-39.982071,-1.238167,-1.031864,0.005666,0.003328,43.647823,0.531042,-0.012674
122.470093,213.539337,47.496315,-1.454626,0.889476,-0.005608,0.005413,42.164658,2.373913,0.040439
123.143005,-220.130997,-39.268055,-2.283868,-0.323084,0.010309,-0.000371,39.730194,-0.035997,0.061757
123.815918,194.337601,47.513321,-1.834600,3.220910,-0.005084,0.017817,34.643398,1.848771,0.001477
124.488831,-201.461807,-37.988796,0.064169,1.367722,-0.001544,-0.006498,43.506084,-1.804056,0.032742
125.161743,178.069031,47.044106,0.603472,3.609392,0.008174,0.018110,34.036362,1.146845,-0.029872
125.834656,-185.363541,-36.418873,4.182591,-1.066955,-0.020637,0.009811,32.822273,2.697824,-0.033821
126.507568,164.179031,46.276962,-1.349708,-2.005827,-0.010806,-0.009171,36.970493,-2.437839,0.018364
127.180481,-171.358734,-34.742455,0.447308,0.313542,-0.002864,-0.001249,50.105190,-2.730263,0.065460
127.853394,152.206100,45.334949,-0.443125,-1.570540,-0.005497,-0.008681,39.764145,-2.135281,-0.001172
128.526306,-159.087494,-33.045090,-0.996935,-0.042311,0.006060,-0.000993,44.235020,-0.162388,-0.091005
129.199219,141.804489,44.323780,0.196796,-0.869772,-0.000482,-0.005983,44.433701,-1.651230,-0.012300
129.872131,-148.229584,-31.368599,-2.761271,-2.200979,0.020837,0.010439,32.650673,0.464419,0.030862
